fault_id,instruction_class,target,bit_index,fault_mask,inject_cycle,duration,detected,latency,comparator_detected,watchdog_seen,mismatch_field
0,IMM,PC,8,00000000,9,1,1,0,1,0,0000001
1,IMM,PC,16,00000000,2,4,1,0,1,0,0000001
2,IMM,PC,1,00000000,2,3,1,0,1,0,0000001
3,IMM,REG_WE,0,00000000,9,4,1,0,1,0,0000010
4,IMM,REG_WE,0,00000000,9,5,1,0,1,0,0000010
5,IMM,REG_WE,0,00000000,20,5,1,0,1,1,0000010
6,IMM,REG_ADDR,1,00000000,8,2,1,0,1,0,0000100
7,IMM,REG_ADDR,1,00000000,23,1,1,0,1,0,0000100
8,IMM,REG_ADDR,4,00000000,20,3,1,0,1,0,0000100
9,IMM,REG_DATA,12,00000000,8,4,1,0,1,0,0001000
10,IMM,REG_DATA,2,00000000,7,1,1,0,1,0,0001000
11,IMM,REG_DATA,16,00000000,2,2,1,0,1,0,0001000
12,IMM,MEM_WE,0,00000000,9,5,1,0,1,0,0010000
13,IMM,MEM_WE,0,00000000,7,2,1,0,1,0,0010000
14,IMM,MEM_WE,0,00000000,2,1,1,0,1,0,0010000
15,IMM,MEM_ADDR,22,00000000,2,3,1,0,1,0,0100000
16,IMM,MEM_ADDR,10,00000000,2,3,1,0,1,0,0100000
17,IMM,MEM_ADDR,18,00000000,8,3,1,0,1,0,0100000
18,IMM,MEM_DATA,3,00000000,8,5,1,0,1,0,1000000
19,IMM,MEM_DATA,20,00000000,20,3,1,0,1,0,1000000
20,IMM,MEM_DATA,8,00000000,17,5,1,0,1,0,1000000
21,ALU,PC,28,00000000,26,5,1,0,1,1,0000001
22,ALU,PC,18,00000000,5,1,1,0,1,0,0000001
23,ALU,PC,24,00000000,4,4,1,0,1,0,0000001
24,ALU,REG_WE,0,00000000,3,4,1,0,1,0,0000010
25,ALU,REG_WE,0,00000000,4,3,1,0,1,0,0000010
26,ALU,REG_WE,0,00000000,26,5,1,0,1,1,0000010
27,ALU,REG_ADDR,3,00000000,15,5,1,0,1,0,0000100
28,ALU,REG_ADDR,4,00000000,15,2,1,0,1,0,0000100
29,ALU,REG_ADDR,0,00000000,4,1,1,0,1,0,0000100
30,ALU,REG_DATA,4,00000000,15,3,1,0,1,0,0001000
31,ALU,REG_DATA,5,00000000,5,4,1,0,1,0,0001000
32,ALU,REG_DATA,12,00000000,6,5,1,0,1,0,0001000
33,ALU,MEM_WE,0,00000000,4,4,1,0,1,0,0010000
34,ALU,MEM_WE,0,00000000,6,2,1,0,1,0,0010000
35,ALU,MEM_WE,0,00000000,15,4,1,0,1,0,0010000
36,ALU,MEM_ADDR,13,00000000,6,4,1,0,1,0,0100000
37,ALU,MEM_ADDR,21,00000000,4,4,1,0,1,0,0100000
38,ALU,MEM_ADDR,18,00000000,3,4,1,0,1,0,0100000
39,ALU,MEM_DATA,8,00000000,4,2,1,0,1,0,1000000
40,ALU,MEM_DATA,2,00000000,26,4,1,0,1,1,1000000
41,ALU,MEM_DATA,2,00000000,4,2,1,0,1,0,1000000
42,MEM,PC,20,00000000,11,5,1,0,1,0,0000001
43,MEM,PC,14,00000000,12,4,1,0,1,0,0000001
44,MEM,PC,14,00000000,14,3,1,0,1,0,0000001
45,MEM,REG_WE,0,00000000,11,2,1,0,1,0,0000010
46,MEM,REG_WE,0,00000000,13,4,1,0,1,0,0000010
47,MEM,REG_WE,0,00000000,14,3,1,0,1,0,0000010
48,MEM,REG_ADDR,4,00000000,14,3,1,0,1,0,0000100
49,MEM,REG_ADDR,1,00000000,25,3,1,0,1,1,0000100
50,MEM,REG_ADDR,3,00000000,12,4,1,0,1,0,0000100
51,MEM,REG_DATA,0,00000000,11,5,1,0,1,0,0001000
52,MEM,REG_DATA,23,00000000,10,2,1,0,1,0,0001000
53,MEM,REG_DATA,25,00000000,24,1,1,0,1,1,0001000
54,MEM,MEM_WE,0,00000000,11,5,1,0,1,0,0010000
55,MEM,MEM_WE,0,00000000,11,5,1,0,1,0,0010000
56,MEM,MEM_WE,0,00000000,11,2,1,0,1,0,0010000
57,MEM,MEM_ADDR,27,00000000,25,4,1,0,1,1,0100000
58,MEM,MEM_ADDR,16,00000000,10,5,1,0,1,0,0100000
59,MEM,MEM_ADDR,11,00000000,14,4,1,0,1,0,0100000
60,MEM,MEM_DATA,2,00000000,14,2,1,0,1,0,1000000
61,MEM,MEM_DATA,0,00000000,10,3,1,0,1,0,1000000
62,MEM,MEM_DATA,18,00000000,13,1,1,0,1,0,1000000
63,BRANCH,PC,13,00000000,18,1,1,0,1,0,0000001
64,BRANCH,PC,7,00000000,18,2,1,0,1,0,0000001
65,BRANCH,PC,21,00000000,18,5,1,0,1,0,0000001
66,BRANCH,REG_WE,0,00000000,18,1,1,0,1,0,0000010
67,BRANCH,REG_WE,0,00000000,16,4,1,0,1,0,0000010
68,BRANCH,REG_WE,0,00000000,18,5,1,0,1,0,0000010
69,BRANCH,REG_ADDR,1,00000000,18,4,1,0,1,0,0000100
70,BRANCH,REG_ADDR,3,00000000,18,4,1,0,1,0,0000100
71,BRANCH,REG_ADDR,2,00000000,18,3,1,0,1,0,0000100
72,BRANCH,REG_DATA,15,00000000,18,1,1,0,1,0,0001000
73,BRANCH,REG_DATA,10,00000000,18,4,1,0,1,0,0001000
74,BRANCH,REG_DATA,31,00000000,16,1,1,0,1,0,0001000
75,BRANCH,MEM_WE,0,00000000,16,5,1,0,1,0,0010000
76,BRANCH,MEM_WE,0,00000000,16,2,1,0,1,0,0010000
77,BRANCH,MEM_WE,0,00000000,18,2,1,0,1,0,0010000
78,BRANCH,MEM_ADDR,8,00000000,16,4,1,0,1,0,0100000
79,BRANCH,MEM_ADDR,26,00000000,16,2,1,0,1,0,0100000
80,BRANCH,MEM_ADDR,14,00000000,18,2,1,0,1,0,0100000
81,BRANCH,MEM_DATA,18,00000000,18,2,1,0,1,0,1000000
82,BRANCH,MEM_DATA,3,00000000,18,2,1,0,1,0,1000000
83,BRANCH,MEM_DATA,28,00000000,18,3,1,0,1,0,1000000
84,JUMP,PC,22,00000000,21,2,1,0,1,0,0000001
85,JUMP,PC,27,00000000,21,5,1,0,1,1,0000001
86,JUMP,PC,28,00000000,21,5,1,0,1,1,0000001
87,JUMP,REG_WE,0,00000000,21,4,1,0,1,1,0000010
88,JUMP,REG_WE,0,00000000,21,2,1,0,1,0,0000010
89,JUMP,REG_WE,0,00000000,21,4,1,0,1,1,0000010
90,JUMP,REG_ADDR,1,00000000,21,5,1,0,1,1,0000100
91,JUMP,REG_ADDR,2,00000000,21,3,1,0,1,0,0000100
92,JUMP,REG_ADDR,1,00000000,21,4,1,0,1,1,0000100
93,JUMP,REG_DATA,14,00000000,21,5,1,0,1,1,0001000
94,JUMP,REG_DATA,26,00000000,21,2,1,0,1,0,0001000
95,JUMP,REG_DATA,24,00000000,21,3,1,0,1,0,0001000
96,JUMP,MEM_WE,0,00000000,21,1,1,0,1,0,0010000
97,JUMP,MEM_WE,0,00000000,21,3,1,0,1,0,0010000
98,JUMP,MEM_WE,0,00000000,21,5,1,0,1,1,0010000
99,JUMP,MEM_ADDR,19,00000000,21,2,1,0,1,0,0100000
100,JUMP,MEM_ADDR,8,00000000,21,4,1,0,1,1,0100000
101,JUMP,MEM_ADDR,24,00000000,21,2,1,0,1,0,0100000
102,JUMP,MEM_DATA,25,00000000,21,4,1,0,1,1,1000000
103,JUMP,MEM_DATA,18,00000000,21,1,1,0,1,0,1000000
104,JUMP,MEM_DATA,20,00000000,21,2,1,0,1,0,1000000
